Size of the array, Time taken
100, 1.2e-05
200, 2e-05
300, 3.3e-05
400, 3.2e-05
500, 2.8e-05
600, 3.9e-05
700, 3.7e-05
800, 4.6e-05
900, 4.8e-05
1000, 5.7e-05
1100, 5.8e-05
1200, 6.2e-05
1300, 6.5e-05
1400, 6.8e-05
1500, 7.8e-05
1600, 7.8e-05
1700, 8.2e-05
1800, 8.8e-05
1900, 9.1e-05
2000, 9.7e-05
2100, 9.6e-05
2200, 9.8e-05
2300, 0.000102
2400, 0.000107
2500, 0.000112
2600, 0.000114
2700, 0.000119
2800, 0.000125
2900, 0.000128
3000, 0.000132
3100, 0.000137
3200, 0.000143
3300, 0.000145
3400, 0.000151
3500, 0.000155
3600, 0.000159
3700, 0.000165
3800, 0.000179
3900, 0.000176
4000, 0.00018
4100, 0.000186
4200, 0.000194
4300, 0.000215
4400, 0.000208
4500, 0.00021
4600, 0.000213
4700, 0.000219
4800, 0.000225
4900, 0.000231
5000, 0.000232
5100, 0.000235
5200, 0.000241
5300, 0.000245
5400, 0.00025
5500, 0.000254
5600, 0.000259
5700, 0.000264
5800, 0.000269
5900, 0.000281
6000, 0.000279
6100, 0.000284
6200, 0.000289
6300, 0.000296
6400, 0.000299
6500, 0.000303
6600, 0.00031
6700, 0.000312
6800, 0.000319
6900, 0.000318
7000, 0.000319
7100, 0.000324
7200, 0.00033
7300, 0.000333
7400, 0.000338
7500, 0.000352
7600, 0.00035
7700, 0.000356
7800, 0.000364
7900, 0.00037
8000, 0.000377
8100, 0.000379
8200, 0.000385
8300, 0.000391
8400, 0.0004
8500, 0.000423
8600, 0.000402
8700, 0.000405
8800, 0.00041
8900, 0.000414
9000, 0.000424
9100, 0.000423
9200, 0.000429
9300, 0.00044
9400, 0.000455
9500, 0.000453
9600, 0.000456
9700, 0.000462
9800, 0.000466
9900, 0.000478
10000, 0.000478
10100, 0.000481
10200, 0.000483
10300, 0.000489
10400, 0.000493
10500, 0.0005
10600, 0.000501
10700, 0.000508
10800, 0.00051
10900, 0.000517
11000, 0.000525
11100, 0.000526
11200, 0.000531
11300, 0.000536
11400, 0.000535
11500, 0.000538
11600, 0.000547
11700, 0.000548
11800, 0.000562
11900, 0.000561
12000, 0.000567
12100, 0.000572
12200, 0.000575
12300, 0.000584
12400, 0.000598
12500, 0.00065
12600, 0.00062
12700, 0.000602
12800, 0.000615
12900, 0.000615
13000, 0.000616
13100, 0.000642
13200, 0.000627
13300, 0.000629
13400, 0.000644
13500, 0.000643
13600, 0.000648
