Size of the array, Time taken
100, 2e-05
200, 4.2e-05
300, 6.4e-05
400, 8.2e-05
500, 0.000104
600, 0.000127
700, 0.000151
800, 0.000173
900, 0.000201
1000, 0.000221
1100, 0.000243
1200, 0.00027
1300, 0.000305
1400, 0.000319
1500, 0.000344
1600, 0.000374
1700, 0.000397
1800, 0.00042
1900, 0.000445
2000, 0.000476
2100, 0.000498
2200, 0.000526
2300, 0.000548
2400, 0.000581
2500, 0.000639
2600, 0.000633
2700, 0.00067
2800, 0.000681
2900, 0.000709
3000, 0.00074
3100, 0.000766
3200, 0.000792
3300, 0.00082
3400, 0.000845
3500, 0.000874
3600, 0.000902
3700, 0.000924
3800, 0.001143
3900, 0.001265
4000, 0.001272
4100, 0.001068
4200, 0.001079
4300, 0.001162
4400, 0.001131
4500, 0.001156
4600, 0.001186
4700, 0.001225
4800, 0.00124
4900, 0.00127
5000, 0.001351
5100, 0.001353
5200, 0.00137
5300, 0.001387
5400, 0.001417
5500, 0.001443
5600, 0.001469
5700, 0.001504
5800, 0.001529
5900, 0.001557
6000, 0.001762
6100, 0.001791
6200, 0.001647
6300, 0.001689
6400, 0.001702
6500, 0.001722
6600, 0.001758
6700, 0.001785
6800, 0.001812
6900, 0.001841
7000, 0.001905
7100, 0.001898
7200, 0.001989
7300, 0.001987
7400, 0.001988
7500, 0.002044
7600, 0.002043
7700, 0.002069
7800, 0.002097
7900, 0.002183
8000, 0.00217
8100, 0.002184
8200, 0.002228
8300, 0.002239
8400, 0.00227
8500, 0.002303
8600, 0.002332
8700, 0.002366
8800, 0.002395
8900, 0.00242
9000, 0.002476
9100, 0.00248
9200, 0.002512
9300, 0.002542
9400, 0.002573
9500, 0.002636
9600, 0.00263
9700, 0.00266
9800, 0.0027
9900, 0.002742
10000, 0.002788
10100, 0.002802
10200, 0.002824
10300, 0.002852
10400, 0.002872
10500, 0.002913
10600, 0.002938
10700, 0.002959
10800, 0.002994
10900, 0.003017
11000, 0.003056
11100, 0.003091
11200, 0.003132
11300, 0.003174
11400, 0.003178
11500, 0.00321
11600, 0.003287
11700, 0.003289
11800, 0.003303
11900, 0.003329
12000, 0.003348
12100, 0.003551
12200, 0.003727
12300, 0.003465
12400, 0.00349
12500, 0.003516
12600, 0.003647
12700, 0.003574
12800, 0.003863
12900, 0.003638
13000, 0.003749
13100, 0.004118
13200, 0.003731
13300, 0.003816
13400, 0.003991
13500, 0.003999
13600, 0.003889
13700, 0.003936
13800, 0.003928
13900, 0.004203
14000, 0.004033
14100, 0.004
14200, 0.004137
14300, 0.004211
14400, 0.004102
14500, 0.00414
14600, 0.005022
14700, 0.005104
14800, 0.004258
14900, 0.004236
15000, 0.004376
15100, 0.004294
15200, 0.004315
15300, 0.004354
15400, 0.00472
15500, 0.004478
15600, 0.004458
15700, 0.004541
15800, 0.004571
15900, 0.004596
16000, 0.004633
16100, 0.004632
16200, 0.004664
16300, 0.004664
16400, 0.004739
16500, 0.004769
16600, 0.004764
16700, 0.00478
16800, 0.004978
16900, 0.004971
17000, 0.004899
17100, 0.005015
17200, 0.005023
17300, 0.005031
17400, 0.005067
17500, 0.005303
17600, 0.005076
17700, 0.005284
17800, 0.005287
17900, 0.005332
18000, 0.005253
18100, 0.005422
18200, 0.005412
18300, 0.005318
18400, 0.005618
18500, 0.005373
18600, 0.005414
18700, 0.005445
18800, 0.005501
18900, 0.005488
19000, 0.005521
19100, 0.005551
19200, 0.005584
19300, 0.005715
19400, 0.005656
19500, 0.005687
19600, 0.005724
19700, 0.00576
19800, 0.005931
19900, 0.005905
20000, 0.005861
20100, 0.005958
20200, 0.005902
20300, 0.005939
20400, 0.005975
20500, 0.00626
20600, 0.006088
20700, 0.006081
20800, 0.006138
20900, 0.006318
21000, 0.006395
21100, 0.006214
21200, 0.006437
21300, 0.006289
21400, 0.006584
21500, 0.006652
21600, 0.006445
21700, 0.006682
21800, 0.006433
21900, 0.006645
22000, 0.006563
22100, 0.006557
22200, 0.00655
22300, 0.006577
22400, 0.006609
22500, 0.006732
22600, 0.006674
22700, 0.006722
22800, 0.006744
22900, 0.00676
23000, 0.006837
23100, 0.006825
23200, 0.006896
23300, 0.006892
23400, 0.006934
23500, 0.006949
23600, 0.007416
23700, 0.007245
23800, 0.007064
23900, 0.00753
24000, 0.007305
24100, 0.007254
24200, 0.007458
24300, 0.00745
24400, 0.007407
24500, 0.007519
24600, 0.007694
24700, 0.00739
24800, 0.007618
24900, 0.007407
25000, 0.007472
25100, 0.007463
25200, 0.007558
25300, 0.007536
25400, 0.007575
25500, 0.007586
25600, 0.00763
25700, 0.007697
25800, 0.007675
25900, 0.007771
26000, 0.007745
26100, 0.007804
26200, 0.007826
26300, 0.008202
26400, 0.007927
26500, 0.007984
26600, 0.008134
26700, 0.008275
26800, 0.008025
26900, 0.008316
27000, 0.00829
27100, 0.008431
27200, 0.008146
27300, 0.008354
27400, 0.008404
27500, 0.008355
27600, 0.008264
27700, 0.008406
27800, 0.008368
27900, 0.008396
28000, 0.008424
28100, 0.008442
28200, 0.00848
28300, 0.008633
28400, 0.008535
28500, 0.00857
28600, 0.008624
28700, 0.008972
28800, 0.008714
28900, 0.009037
29000, 0.009098
29100, 0.008809
29200, 0.008987
29300, 0.008863
29400, 0.009062
29500, 0.008964
29600, 0.009037
29700, 0.009098
29800, 0.009011
29900, 0.009052
30000, 0.009219
30100, 0.009431
30200, 0.009732
30300, 0.009247
30400, 0.009185
30500, 0.009252
30600, 0.009353
30700, 0.009327
30800, 0.009297
30900, 0.009613
31000, 0.009615
31100, 0.009488
31200, 0.009741
31300, 0.009744
31400, 0.009719
31500, 0.009821
31600, 0.009745
31700, 0.009682
31800, 0.009739
31900, 0.009786
32000, 0.00975
32100, 0.009762
32200, 0.009775
32300, 0.0098
32400, 0.009873
32500, 0.00988
32600, 0.009914
32700, 0.009902
32800, 0.009981
32900, 0.009948
33000, 0.010159
33100, 0.010098
33200, 0.010201
33300, 0.010319
33400, 0.010285
33500, 0.010509
33600, 0.010253
33700, 0.010411
33800, 0.010347
33900, 0.010486
34000, 0.010524
34100, 0.010432
34200, 0.010389
34300, 0.010509
34400, 0.010524
34500, 0.010567
34600, 0.010567
34700, 0.010587
34800, 0.010613
34900, 0.010635
35000, 0.011188
35100, 0.010763
35200, 0.011173
35300, 0.010955
35400, 0.011192
35500, 0.011096
35600, 0.010976
35700, 0.011041
35800, 0.011248
35900, 0.011081
36000, 0.011024
36100, 0.011074
36200, 0.011122
36300, 0.011198
36400, 0.011302
36500, 0.011221
36600, 0.011275
36700, 0.011297
36800, 0.011488
36900, 0.011427
37000, 0.011767
37100, 0.011517
37200, 0.011591
37300, 0.011699
37400, 0.011891
37500, 0.011763
37600, 0.011829
37700, 0.011789
37800, 0.01176
37900, 0.011709
38000, 0.011793
38100, 0.011761
38200, 0.011781
38300, 0.011772
38400, 0.011899
38500, 0.012007
38600, 0.012136
38700, 0.01216
38800, 0.012259
38900, 0.012586
39000, 0.012197
39100, 0.012197
39200, 0.012614
39300, 0.013136
39400, 0.012257
39500, 0.012285
39600, 0.012288
39700, 0.012384
39800, 0.012292
39900, 0.012364
40000, 0.012423
40100, 0.012451
40200, 0.012738
40300, 0.012602
40400, 0.012776
40500, 0.0128
40600, 0.012808
40700, 0.012701
40800, 0.012975
40900, 0.013016
41000, 0.012824
41100, 0.012932
41200, 0.012919
41300, 0.012875
41400, 0.013058
41500, 0.01293
41600, 0.013094
41700, 0.013039
41800, 0.01357
41900, 0.01347
42000, 0.013521
42100, 0.014178
42200, 0.013238
42300, 0.013626
42400, 0.013728
42500, 0.013797
42600, 0.013418
42700, 0.013437
42800, 0.013356
42900, 0.013397
43000, 0.013508
43100, 0.013537
43200, 0.013721
43300, 0.013877
43400, 0.013703
43500, 0.014086
43600, 0.013878
43700, 0.013897
43800, 0.014041
43900, 0.013976
44000, 0.014116
44100, 0.013891
44200, 0.013843
44300, 0.013883
44400, 0.013952
44500, 0.014027
44600, 0.014001
44700, 0.014038
44800, 0.014263
44900, 0.014343
45000, 0.014358
45100, 0.014449
45200, 0.014386
45300, 0.01438
45400, 0.014483
45500, 0.015157
45600, 0.014285
45700, 0.014335
45800, 0.014371
45900, 0.014409
46000, 0.014459
46100, 0.014438
46200, 0.014947
46300, 0.014823
46400, 0.015107
46500, 0.014977
46600, 0.015196
46700, 0.014834
46800, 0.015241
46900, 0.014925
47000, 0.014746
47100, 0.014866
47200, 0.014856
47300, 0.01485
47400, 0.014913
47500, 0.014981
47600, 0.015049
47700, 0.015064
47800, 0.015075
47900, 0.015203
48000, 0.015341
48100, 0.015261
48200, 0.015322
48300, 0.015208
48400, 0.015185
48500, 0.015315
48600, 0.015284
48700, 0.015366
48800, 0.015413
48900, 0.015498
49000, 0.015702
49100, 0.015738
49200, 0.01572
49300, 0.015876
49400, 0.01574
49500, 0.016166
49600, 0.01573
49700, 0.01572
49800, 0.015812
49900, 0.015868
50000, 0.015791
50100, 0.015901
50200, 0.016322
50300, 0.016278
50400, 0.016381
50500, 0.016358
50600, 0.016419
50700, 0.016226
50800, 0.016302
50900, 0.016062
51000, 0.016326
51100, 0.016221
51200, 0.016131
51300, 0.016285
51400, 0.016253
51500, 0.016567
51600, 0.016701
51700, 0.016864
51800, 0.016668
51900, 0.016644
52000, 0.016549
52100, 0.016522
52200, 0.016606
52300, 0.016594
52400, 0.016616
52500, 0.016688
52600, 0.016615
52700, 0.016875
52800, 0.017051
52900, 0.017426
53000, 0.017094
53100, 0.017558
53200, 0.017205
53300, 0.017173
53400, 0.017024
53500, 0.017047
53600, 0.017019
53700, 0.017104
53800, 0.017052
53900, 0.017679
54000, 0.017489
54100, 0.017624
54200, 0.017903
54300, 0.017567
54400, 0.017674
54500, 0.01742
54600, 0.017342
54700, 0.017391
54800, 0.017454
54900, 0.017418
55000, 0.017459
55100, 0.018092
55200, 0.018101
55300, 0.018142
55400, 0.020756
55500, 0.017862
55600, 0.017943
55700, 0.01782
55800, 0.017718
55900, 0.017809
56000, 0.017839
56100, 0.017808
56200, 0.018222
56300, 0.018122
56400, 0.018514
56500, 0.018448
56600, 0.018672
56700, 0.018639
56800, 0.018183
56900, 0.018141
57000, 0.018279
57100, 0.018193
57200, 0.01828
57300, 0.018698
57400, 0.018406
57500, 0.018897
57600, 0.018805
57700, 0.018694
57800, 0.018909
57900, 0.018579
58000, 0.020087
58100, 0.018513
58200, 0.018672
58300, 0.019568
58400, 0.018821
58500, 0.019351
58600, 0.019356
58700, 0.018989
58800, 0.019331
58900, 0.019038
59000, 0.018838
59100, 0.018906
59200, 0.018941
59300, 0.018929
59400, 0.018945
59500, 0.019412
59600, 0.019572
59700, 0.019482
59800, 0.019342
59900, 0.019226
60000, 0.019376
60100, 0.019243
60200, 0.019178
60300, 0.019315
60400, 0.019362
60500, 0.019405
60600, 0.019648
60700, 0.019621
60800, 0.019769
60900, 0.02015
61000, 0.019837
61100, 0.019583
61200, 0.019583
61300, 0.019617
61400, 0.01971
61500, 0.019709
61600, 0.01969
61700, 0.020047
61800, 0.020114
61900, 0.020393
62000, 0.020105
62100, 0.02013
62200, 0.019975
62300, 0.019923
62400, 0.020074
62500, 0.020034
62600, 0.020016
62700, 0.020335
62800, 0.020207
62900, 0.020548
63000, 0.020422
63100, 0.02077
63200, 0.020383
63300, 0.021671
63400, 0.020348
63500, 0.020329
63600, 0.020426
63700, 0.0206
63800, 0.020646
63900, 0.02069
64000, 0.021121
64100, 0.020943
64200, 0.020618
64300, 0.020666
64400, 0.020691
64500, 0.020638
64600, 0.020748
64700, 0.021138
64800, 0.021265
64900, 0.021134
65000, 0.021338
65100, 0.02128
65200, 0.020986
65300, 0.021052
65400, 0.020997
65500, 0.021073
65600, 0.021019
65700, 0.021479
65800, 0.021887
65900, 0.021743
66000, 0.021459
66100, 0.021428
66200, 0.021537
66300, 0.021432
66400, 0.021345
66500, 0.021478
66600, 0.021409
66700, 0.022017
66800, 0.021879
66900, 0.022015
67000, 0.021719
67100, 0.021815
67200, 0.021662
67300, 0.021696
67400, 0.021755
67500, 0.021786
67600, 0.021834
67700, 0.022197
67800, 0.022476
67900, 0.02232
68000, 0.023044
68100, 0.022246
68200, 0.022038
68300, 0.022014
68400, 0.022082
68500, 0.022194
68600, 0.022214
68700, 0.022571
68800, 0.022503
68900, 0.022762
69000, 0.022441
69100, 0.02251
69200, 0.022422
69300, 0.022432
69400, 0.022505
69500, 0.02263
69600, 0.023134
69700, 0.022976
69800, 0.022863
69900, 0.022757
70000, 0.022816
70100, 0.02268
70200, 0.023089
70300, 0.022732
70400, 0.023018
70500, 0.023317
70600, 0.023214
70700, 0.023345
70800, 0.023328
70900, 0.023109
71000, 0.022996
71100, 0.023159
71200, 0.023061
71300, 0.023533
71400, 0.023529
71500, 0.023699
71600, 0.023577
71700, 0.023494
71800, 0.023238
71900, 0.023393
72000, 0.02337
72100, 0.023374
72200, 0.023738
72300, 0.02509
72400, 0.024062
72500, 0.023726
72600, 0.023898
72700, 0.023551
72800, 0.023671
72900, 0.023595
73000, 0.02372
73100, 0.024234
73200, 0.024139
73300, 0.024201
73400, 0.024188
73500, 0.023988
73600, 0.024006
73700, 0.023977
73800, 0.024018
73900, 0.024036
74000, 0.024628
74100, 0.024407
74200, 0.024728
74300, 0.024552
74400, 0.024343
74500, 0.024234
74600, 0.024251
74700, 0.024282
74800, 0.024448
74900, 0.025142
75000, 0.025083
75100, 0.024811
75200, 0.025193
75300, 0.02457
75400, 0.024646
75500, 0.024554
75600, 0.024636
75700, 0.024669
75800, 0.025156
75900, 0.025177
76000, 0.025253
76100, 0.025034
76200, 0.024903
76300, 0.025108
76400, 0.025988
76500, 0.024961
76600, 0.025078
76700, 0.02541
76800, 0.025423
76900, 0.025325
77000, 0.025454
77100, 0.025218
77200, 0.025283
77300, 0.025228
77400, 0.025638
77500, 0.025641
77600, 0.025955
77700, 0.025545
77800, 0.025855
77900, 0.025461
78000, 0.025565
78100, 0.025453
78200, 0.025919
78300, 0.025599
78400, 0.026362
78500, 0.025984
78600, 0.025917
78700, 0.025775
78800, 0.025786
78900, 0.025791
79000, 0.02605
79100, 0.026601
79200, 0.026213
79300, 0.026082
79400, 0.026086
79500, 0.02608
79600, 0.026015
79700, 0.026083
79800, 0.026357
79900, 0.026743
80000, 0.027292
80100, 0.02674
80200, 0.02748
80300, 0.026402
80400, 0.026297
80500, 0.026386
80600, 0.026911
80700, 0.02702
80800, 0.026922
80900, 0.026695
81000, 0.026686
81100, 0.026524
81200, 0.026725
81300, 0.026647
81400, 0.027027
81500, 0.027097
81600, 0.027042
81700, 0.027056
81800, 0.02689
81900, 0.026837
82000, 0.026948
82100, 0.027043
82200, 0.027282
82300, 0.027805
82400, 0.027388
82500, 0.027485
82600, 0.027161
82700, 0.027282
82800, 0.02729
82900, 0.027266
83000, 0.028411
83100, 0.027685
83200, 0.027761
83300, 0.027558
83400, 0.027527
83500, 0.027394
83600, 0.027514
83700, 0.027474
83800, 0.029353
83900, 0.028395
84000, 0.027994
84100, 0.028024
84200, 0.027621
84300, 0.027785
84400, 0.027696
84500, 0.027825
84600, 0.028409
84700, 0.028406
84800, 0.028111
84900, 0.028159
85000, 0.028056
85100, 0.027909
85200, 0.028066
85300, 0.028093
85400, 0.028807
85500, 0.028723
85600, 0.028308
85700, 0.02875
85800, 0.028208
85900, 0.028313
86000, 0.028333
86100, 0.028343
86200, 0.029173
86300, 0.028758
86400, 0.028834
86500, 0.028675
86600, 0.028611
86700, 0.028674
86800, 0.028701
86900, 0.029095
87000, 0.02908
87100, 0.02907
87200, 0.028876
87300, 0.029265
87400, 0.029018
87500, 0.029102
87600, 0.029373
87700, 0.029232
87800, 0.0293
87900, 0.029004
88000, 0.02901
88100, 0.029123
88200, 0.029463
88300, 0.029303
88400, 0.029486
88500, 0.029436
88600, 0.029883
88700, 0.029251
88800, 0.029342
88900, 0.029685
89000, 0.029824
89100, 0.030219
89200, 0.029747
89300, 0.029556
89400, 0.02951
89500, 0.029574
89600, 0.03017
89700, 0.029938
89800, 0.030345
89900, 0.030027
90000, 0.029857
90100, 0.029898
90200, 0.029788
90300, 0.030399
90400, 0.030233
90500, 0.030426
90600, 0.030381
90700, 0.031901
90800, 0.030474
90900, 0.03025
91000, 0.031001
91100, 0.031015
91200, 0.030683
91300, 0.030805
91400, 0.030533
91500, 0.0304
91600, 0.030376
91700, 0.030885
91800, 0.031355
91900, 0.030913
92000, 0.030982
92100, 0.030674
92200, 0.030643
92300, 0.030878
92400, 0.031132
92500, 0.031509
92600, 0.030963
