Size of the array, Time taken
100, 1.3e-05
200, 2.9e-05
300, 3.7e-05
400, 5.5e-05
500, 7.1e-05
600, 6.9e-05
700, 9.7e-05
800, 0.000116
900, 0.000125
1000, 0.000139
1100, 0.00015
1200, 0.000172
1300, 0.000181
1400, 0.000204
1500, 0.000213
1600, 0.000218
1700, 0.000217
1800, 0.000243
1900, 0.000265
2000, 0.000295
2100, 0.000295
2200, 0.000331
2300, 0.0003
2400, 0.000336
2500, 0.000334
2600, 0.000351
2700, 0.000396
2800, 0.000411
2900, 0.000441
3000, 0.000397
3100, 0.000447
3200, 0.000396
3300, 0.000484
3400, 0.000521
3500, 0.000453
3600, 0.000492
3700, 0.000526
3800, 0.000592
3900, 0.000495
4000, 0.000575
4100, 0.000586
4200, 0.000587
4300, 0.000689
4400, 0.000575
4500, 0.00066
4600, 0.000635
4700, 0.000639
4800, 0.000703
4900, 0.000767
5000, 0.000696
5100, 0.000705
5200, 0.000662
5300, 0.000717
5400, 0.000695
5500, 0.000806
5600, 0.000766
5700, 0.000835
5800, 0.000784
5900, 0.000827
6000, 0.000853
6100, 0.000953
6200, 0.000894
6300, 0.000903
6400, 0.00097
6500, 0.000932
6600, 0.000961
6700, 0.000981
6800, 0.000972
6900, 0.000937
7000, 0.000957
7100, 0.000975
7200, 0.001042
7300, 0.000874
7400, 0.001159
7500, 0.001141
7600, 0.001083
7700, 0.001087
7800, 0.00103
7900, 0.001086
8000, 0.001049
8100, 0.001176
8200, 0.00116
8300, 0.00125
8400, 0.001111
8500, 0.001236
8600, 0.001309
8700, 0.001318
8800, 0.001219
8900, 0.00129
9000, 0.001348
9100, 0.001246
9200, 0.001299
9300, 0.001269
9400, 0.001311
9500, 0.001534
9600, 0.00154
9700, 0.001431
9800, 0.001386
9900, 0.001378
10000, 0.001463
10100, 0.00152
10200, 0.001454
10300, 0.001532
10400, 0.001443
10500, 0.001433
10600, 0.001381
10700, 0.001539
10800, 0.001444
10900, 0.001626
11000, 0.001453
11100, 0.001568
11200, 0.001627
11300, 0.001571
11400, 0.001575
11500, 0.001589
11600, 0.001665
11700, 0.001769
11800, 0.001747
11900, 0.001704
12000, 0.001729
12100, 0.001785
12200, 0.001695
12300, 0.001801
12400, 0.001828
12500, 0.00182
12600, 0.001802
12700, 0.001752
12800, 0.001636
12900, 0.001836
13000, 0.001832
13100, 0.001915
13200, 0.00211
13300, 0.001673
13400, 0.001962
13500, 0.002034
13600, 0.001533
13700, 0.001857
13800, 0.001939
13900, 0.001954
14000, 0.00188
14100, 0.001807
14200, 0.002094
14300, 0.002046
14400, 0.002096
14500, 0.001889
14600, 0.002049
14700, 0.002022
14800, 0.002069
14900, 0.002082
15000, 0.002012
15100, 0.002214
15200, 0.002381
15300, 0.002362
15400, 0.002293
15500, 0.002104
15600, 0.002287
15700, 0.002286
15800, 0.00205
15900, 0.002474
16000, 0.002248
16100, 0.002155
16200, 0.0025
16300, 0.002561
16400, 0.002338
16500, 0.002276
16600, 0.002528
16700, 0.003535
16800, 0.00322
16900, 0.002248
17000, 0.002401
17100, 0.0025
17200, 0.002589
17300, 0.002887
17400, 0.002304
17500, 0.002608
17600, 0.002519
17700, 0.002583
17800, 0.002598
17900, 0.00305
18000, 0.002673
18100, 0.002905
18200, 0.002579
18300, 0.002554
18400, 0.002593
18500, 0.003434
18600, 0.003426
18700, 0.003973
18800, 0.004026
18900, 0.003926
19000, 0.003397
19100, 0.003837
19200, 0.003982
19300, 0.00352
19400, 0.003068
19500, 0.002973
19600, 0.002954
19700, 0.002944
19800, 0.002872
19900, 0.003026
20000, 0.002614
20100, 0.002716
20200, 0.002949
20300, 0.002839
20400, 0.003068
20500, 0.003462
20600, 0.003067
20700, 0.002826
20800, 0.002885
20900, 0.002807
21000, 0.003045
21100, 0.003051
21200, 0.002979
21300, 0.002926
21400, 0.003267
21500, 0.002787
21600, 0.002886
21700, 0.002753
21800, 0.002783
21900, 0.002896
22000, 0.00309
22100, 0.00338
22200, 0.003183
22300, 0.003242
22400, 0.003089
22500, 0.002877
22600, 0.003286
22700, 0.002942
22800, 0.003286
22900, 0.003439
23000, 0.003328
23100, 0.003
23200, 0.003463
23300, 0.00372
23400, 0.003164
23500, 0.003095
23600, 0.00288
23700, 0.004202
23800, 0.002955
23900, 0.003209
24000, 0.003737
24100, 0.003424
24200, 0.003627
24300, 0.0036
24400, 0.003569
24500, 0.003765
24600, 0.003856
24700, 0.003419
24800, 0.003758
24900, 0.004089
25000, 0.003916
25100, 0.003602
25200, 0.003827
25300, 0.004047
25400, 0.003772
25500, 0.003601
25600, 0.003532
25700, 0.004015
25800, 0.003717
25900, 0.003821
26000, 0.003579
26100, 0.003573
26200, 0.004169
26300, 0.003817
26400, 0.003686
26500, 0.003776
26600, 0.003998
26700, 0.003921
26800, 0.004354
26900, 0.004202
27000, 0.003782
27100, 0.004254
27200, 0.003723
27300, 0.00364
27400, 0.003728
27500, 0.003817
27600, 0.003733
27700, 0.004129
27800, 0.003838
27900, 0.003805
28000, 0.006749
28100, 0.00422
28200, 0.004053
28300, 0.003962
28400, 0.004055
28500, 0.004145
28600, 0.003911
28700, 0.003939
28800, 0.004577
28900, 0.003755
29000, 0.003855
29100, 0.0046
29200, 0.004322
29300, 0.004041
29400, 0.004301
29500, 0.004667
29600, 0.004239
29700, 0.004336
29800, 0.004737
29900, 0.004862
30000, 0.004059
30100, 0.00422
30200, 0.004104
30300, 0.004174
30400, 0.00429
