Size of the array, Time taken
100, 1.3e-05
200, 2.6e-05
300, 3.8e-05
400, 4.9e-05
500, 6.5e-05
600, 7.7e-05
700, 7.9e-05
800, 8.6e-05
900, 9.4e-05
1000, 0.000104
1100, 0.000118
1200, 0.000122
1300, 0.000131
1400, 0.000123
1500, 0.000139
1600, 0.000141
1700, 0.000155
1800, 0.00016
1900, 0.000168
2000, 0.000177
2100, 0.000187
2200, 0.000198
2300, 0.000222
2400, 0.000216
2500, 0.000324
2600, 0.000366
2700, 0.000386
2800, 0.000396
2900, 0.000408
3000, 0.000405
3100, 0.000464
3200, 0.000477
3300, 0.000462
3400, 0.000312
3500, 0.000329
3600, 0.000344
3700, 0.000426
3800, 0.000375
3900, 0.000377
4000, 0.000508
4100, 0.000524
4200, 0.00056
4300, 0.000545
4400, 0.000581
4500, 0.000599
4600, 0.00064
4700, 0.000636
4800, 0.000637
4900, 0.000652
5000, 0.000674
5100, 0.000667
5200, 0.000706
5300, 0.000732
5400, 0.000759
5500, 0.000733
5600, 0.000763
5700, 0.000749
5800, 0.000768
5900, 0.00084
6000, 0.000769
6100, 0.000698
6200, 0.001001
6300, 0.000893
6400, 0.000887
6500, 0.000891
6600, 0.000901
6700, 0.000873
6800, 0.000892
6900, 0.000942
7000, 0.001021
7100, 0.001055
7200, 0.000998
7300, 0.001001
7400, 0.001051
7500, 0.001066
7600, 0.001113
7700, 0.001104
7800, 0.001116
7900, 0.001112
8000, 0.001006
8100, 0.001078
8200, 0.001147
8300, 0.001166
8400, 0.001148
8500, 0.001132
8600, 0.001279
8700, 0.001238
8800, 0.001206
8900, 0.001272
9000, 0.001271
9100, 0.001384
9200, 0.001466
9300, 0.001332
9400, 0.001255
9500, 0.001288
9600, 0.001354
9700, 0.001318
9800, 0.001311
9900, 0.001564
10000, 0.001441
10100, 0.001359
10200, 0.001408
10300, 0.001478
10400, 0.001477
10500, 0.001683
10600, 0.001556
10700, 0.00152
10800, 0.001416
10900, 0.001604
11000, 0.001736
11100, 0.001657
11200, 0.001753
11300, 0.001725
11400, 0.001556
11500, 0.001605
11600, 0.001678
11700, 0.001691
11800, 0.001879
11900, 0.001773
12000, 0.001733
12100, 0.001729
12200, 0.001791
12300, 0.001816
12400, 0.002076
12500, 0.001764
12600, 0.001714
12700, 0.001739
12800, 0.002013
12900, 0.001608
13000, 0.001843
13100, 0.001924
13200, 0.00184
13300, 0.002109
13400, 0.00188
13500, 0.001999
13600, 0.00208
13700, 0.002032
13800, 0.00201
13900, 0.00211
14000, 0.002069
14100, 0.002069
14200, 0.002123
14300, 0.00215
14400, 0.002093
14500, 0.002104
14600, 0.002156
14700, 0.001717
14800, 0.002281
14900, 0.002589
15000, 0.002313
15100, 0.002361
15200, 0.002441
15300, 0.002418
15400, 0.002579
15500, 0.002977
15600, 0.003733
15700, 0.003757
15800, 0.00362
15900, 0.003871
16000, 0.003912
16100, 0.003828
16200, 0.003989
16300, 0.004
16400, 0.004007
16500, 0.004034
16600, 0.004069
16700, 0.004018
16800, 0.004162
16900, 0.004193
17000, 0.00302
17100, 0.003427
17200, 0.003064
17300, 0.004082
17400, 0.004203
17500, 0.004131
17600, 0.004033
17700, 0.004169
17800, 0.00436
17900, 0.004814
18000, 0.004863
18100, 0.004874
18200, 0.00493
18300, 0.004912
18400, 0.004976
18500, 0.004961
18600, 0.005091
18700, 0.005057
18800, 0.005102
18900, 0.005286
19000, 0.005183
19100, 0.005213
19200, 0.005197
19300, 0.005384
19400, 0.005299
19500, 0.005298
19600, 0.005403
19700, 0.005365
19800, 0.005444
19900, 0.00549
20000, 0.005368
20100, 0.005509
20200, 0.005492
20300, 0.005562
20400, 0.005523
20500, 0.005564
20600, 0.005617
20700, 0.005606
20800, 0.005644
20900, 0.005624
21000, 0.005619
21100, 0.005725
21200, 0.005701
21300, 0.005753
21400, 0.005779
21500, 0.005825
21600, 0.005824
21700, 0.005829
21800, 0.005961
21900, 0.005955
22000, 0.005904
22100, 0.005977
22200, 0.005977
22300, 0.00611
22400, 0.006288
22500, 0.005695
22600, 0.004358
22700, 0.003622
22800, 0.00363
22900, 0.003749
23000, 0.003822
23100, 0.003775
23200, 0.003842
23300, 0.003782
23400, 0.003799
23500, 0.00393
23600, 0.003833
23700, 0.003936
23800, 0.003956
23900, 0.004026
24000, 0.003892
24100, 0.003664
24200, 0.003914
24300, 0.004038
24400, 0.00404
24500, 0.004164
24600, 0.00398
24700, 0.004159
24800, 0.004192
24900, 0.004166
25000, 0.004236
25100, 0.004282
25200, 0.00378
25300, 0.003599
25400, 0.00424
25500, 0.004091
25600, 0.004229
25700, 0.004223
25800, 0.004251
25900, 0.004284
26000, 0.004287
26100, 0.004325
26200, 0.004362
26300, 0.004311
26400, 0.004385
26500, 0.00438
26600, 0.004299
26700, 0.004343
26800, 0.003792
26900, 0.002849
27000, 0.002936
27100, 0.002895
27200, 0.002935
27300, 0.003733
27400, 0.003975
27500, 0.002992
27600, 0.00324
27700, 0.003332
27800, 0.003504
27900, 0.003427
28000, 0.003093
28100, 0.004345
28200, 0.003409
28300, 0.003508
28400, 0.003395
28500, 0.0037
28600, 0.003118
28700, 0.004498
28800, 0.003381
28900, 0.003086
29000, 0.004073
29100, 0.003502
29200, 0.003132
29300, 0.003665
29400, 0.003601
29500, 0.003295
29600, 0.003521
29700, 0.00404
29800, 0.003781
29900, 0.003514
30000, 0.004452
30100, 0.003267
30200, 0.003345
30300, 0.003926
30400, 0.003391
30500, 0.003307
30600, 0.003813
30700, 0.003534
30800, 0.003472
30900, 0.003577
31000, 0.003337
31100, 0.003516
31200, 0.003868
31300, 0.003372
31400, 0.003484
31500, 0.00339
31600, 0.003393
31700, 0.004134
31800, 0.003472
31900, 0.00378
32000, 0.003444
32100, 0.003464
32200, 0.004208
32300, 0.003583
32400, 0.003463
32500, 0.003842
32600, 0.003489
32700, 0.004151
32800, 0.004079
32900, 0.005453
33000, 0.0041
33100, 0.003685
33200, 0.004015
33300, 0.003568
33400, 0.004007
33500, 0.005275
33600, 0.00414
33700, 0.004546
33800, 0.003883
33900, 0.00382
34000, 0.005381
34100, 0.005776
34200, 0.00573
34300, 0.005609
34400, 0.005499
34500, 0.005629
34600, 0.005696
34700, 0.00591
34800, 0.00571
34900, 0.005777
35000, 0.005752
35100, 0.005808
35200, 0.005815
35300, 0.005868
35400, 0.005835
35500, 0.005924
35600, 0.005858
35700, 0.005922
35800, 0.005952
35900, 0.00582
36000, 0.005822
36100, 0.005994
36200, 0.006196
36300, 0.006153
36400, 0.006044
36500, 0.005999
36600, 0.006256
36700, 0.006161
36800, 0.006259
36900, 0.006176
37000, 0.006098
37100, 0.006074
37200, 0.006384
37300, 0.006229
37400, 0.006502
37500, 0.008382
37600, 0.008734
37700, 0.00857
37800, 0.008815
37900, 0.008701
38000, 0.008685
38100, 0.008462
38200, 0.009443
38300, 0.009601
38400, 0.009611
38500, 0.010008
38600, 0.009791
38700, 0.009948
38800, 0.010043
38900, 0.010006
39000, 0.009958
39100, 0.009759
39200, 0.009643
39300, 0.00974
39400, 0.005541
39500, 0.004489
39600, 0.005942
39700, 0.005637
39800, 0.006545
39900, 0.004847
40000, 0.005815
40100, 0.004644
40200, 0.005171
40300, 0.00475
40400, 0.005559
40500, 0.004663
40600, 0.004982
40700, 0.004875
40800, 0.00527
40900, 0.004663
41000, 0.0047
41100, 0.004835
41200, 0.004902
41300, 0.004614
41400, 0.004676
41500, 0.004861
41600, 0.004949
41700, 0.004669
41800, 0.004768
41900, 0.004712
42000, 0.005034
42100, 0.004734
42200, 0.005107
42300, 0.004756
42400, 0.004885
42500, 0.004843
42600, 0.005435
42700, 0.006203
42800, 0.006217
42900, 0.005795
43000, 0.005678
43100, 0.005267
43200, 0.00705
43300, 0.006963
43400, 0.007026
43500, 0.006756
43600, 0.006839
43700, 0.006792
43800, 0.007076
43900, 0.005694
44000, 0.006497
44100, 0.005348
44200, 0.005805
44300, 0.00575
44400, 0.00557
44500, 0.005386
44600, 0.005357
44700, 0.004966
44800, 0.005068
44900, 0.005125
45000, 0.005087
45100, 0.005256
45200, 0.005138
45300, 0.005064
45400, 0.005138
45500, 0.005081
45600, 0.005182
45700, 0.005099
45800, 0.005171
45900, 0.005162
46000, 0.005203
46100, 0.005329
46200, 0.006318
46300, 0.005929
46400, 0.005204
46500, 0.005364
46600, 0.005786
46700, 0.006832
46800, 0.006108
46900, 0.005695
47000, 0.00596
47100, 0.006175
47200, 0.005908
47300, 0.005711
47400, 0.006088
47500, 0.005942
47600, 0.006614
47700, 0.00587
47800, 0.006335
47900, 0.005731
48000, 0.005579
48100, 0.005854
48200, 0.005426
48300, 0.005749
48400, 0.005525
48500, 0.0057
48600, 0.006032
48700, 0.005505
48800, 0.00586
48900, 0.005661
49000, 0.005825
49100, 0.005918
49200, 0.005573
49300, 0.005623
49400, 0.005604
49500, 0.005741
49600, 0.006189
49700, 0.008305
49800, 0.008603
49900, 0.005979
50000, 0.006559
50100, 0.005796
50200, 0.007285
50300, 0.006535
50400, 0.006079
50500, 0.006146
50600, 0.007676
50700, 0.006881
50800, 0.008913
50900, 0.00654
51000, 0.006622
51100, 0.005967
51200, 0.005911
51300, 0.006239
51400, 0.005854
51500, 0.005868
51600, 0.005776
51700, 0.005963
51800, 0.00593
51900, 0.006057
52000, 0.006336
52100, 0.006044
52200, 0.005922
52300, 0.006155
52400, 0.005882
52500, 0.006143
52600, 0.006185
52700, 0.006644
52800, 0.009063
52900, 0.009288
53000, 0.009277
53100, 0.009139
53200, 0.009254
53300, 0.009211
53400, 0.0093
53500, 0.009211
53600, 0.007551
53700, 0.005997
53800, 0.007001
53900, 0.006653
54000, 0.006325
54100, 0.006507
54200, 0.006241
54300, 0.006137
54400, 0.006506
54500, 0.006427
54600, 0.006271
54700, 0.006285
54800, 0.006339
54900, 0.00616
55000, 0.006324
55100, 0.006528
55200, 0.006248
55300, 0.006638
55400, 0.006669
55500, 0.008475
55600, 0.009674
55700, 0.006892
55800, 0.007124
55900, 0.00656
56000, 0.007235
56100, 0.006843
56200, 0.007004
56300, 0.007134
56400, 0.00682
56500, 0.007185
56600, 0.00669
56700, 0.006819
56800, 0.007264
56900, 0.006808
57000, 0.006385
57100, 0.006676
57200, 0.00642
57300, 0.006526
57400, 0.006784
57500, 0.006764
57600, 0.006492
57700, 0.006515
57800, 0.006616
57900, 0.006628
58000, 0.006519
58100, 0.006719
58200, 0.006655
58300, 0.006742
58400, 0.007477
58500, 0.007834
58600, 0.007451
58700, 0.006835
58800, 0.007512
58900, 0.007351
59000, 0.007115
59100, 0.007655
59200, 0.007459
59300, 0.007503
59400, 0.009323
59500, 0.006992
59600, 0.00732
59700, 0.00745
59800, 0.00763
59900, 0.007073
60000, 0.007206
60100, 0.007165
60200, 0.006955
60300, 0.007015
60400, 0.007074
60500, 0.0069
