Size of the array, Time taken
100, 1.7e-05
200, 1.9e-05
300, 3.4e-05
400, 3e-05
500, 2.8e-05
600, 4.2e-05
700, 4.5e-05
800, 5e-05
900, 5e-05
1000, 5.5e-05
1100, 5.9e-05
1200, 6.8e-05
1300, 6.7e-05
1400, 7.1e-05
1500, 9.3e-05
1600, 7.3e-05
1700, 7.6e-05
1800, 8.3e-05
1900, 8.5e-05
2000, 9e-05
2100, 9.6e-05
2200, 9.8e-05
2300, 0.000102
2400, 0.000107
2500, 0.000112
2600, 0.000114
2700, 0.000119
2800, 0.000125
2900, 0.000149
3000, 0.000132
3100, 0.000137
3200, 0.000143
3300, 0.000145
3400, 0.000152
3500, 0.000156
3600, 0.000159
3700, 0.000165
3800, 0.000176
3900, 0.000176
4000, 0.000183
4100, 0.000187
4200, 0.00019
4300, 0.000237
4400, 0.000198
4500, 0.000202
4600, 0.000206
4700, 0.000217
4800, 0.000242
4900, 0.000249
5000, 0.000225
5100, 0.000228
5200, 0.000236
5300, 0.000311
5400, 0.000272
5500, 0.000286
5600, 0.00025
5700, 0.000256
5800, 0.000262
5900, 0.000312
6000, 0.000314
6100, 0.000281
6200, 0.000282
6300, 0.000287
6400, 0.000291
6500, 0.000311
6600, 0.0003
6700, 0.000303
6800, 0.000326
6900, 0.000319
7000, 0.000332
7100, 0.000328
7200, 0.00034
7300, 0.000333
7400, 0.000343
7500, 0.000347
7600, 0.000353
7700, 0.000363
7800, 0.000368
7900, 0.000393
8000, 0.000404
8100, 0.00047
8200, 0.000397
8300, 0.000815
8400, 0.000398
8500, 0.000408
8600, 0.000407
8700, 0.000413
8800, 0.000417
8900, 0.000423
9000, 0.000451
9100, 0.000448
9200, 0.000442
9300, 0.000446
9400, 0.000516
9500, 0.000448
9600, 0.000453
9700, 0.000453
9800, 0.000463
9900, 0.000463
10000, 0.000473
10100, 0.00048
10200, 0.000962
10300, 0.000519
10400, 0.000497
10500, 0.00051
10600, 0.000504
10700, 0.000523
10800, 0.000555
10900, 0.000524
11000, 0.000532
11100, 0.000561
11200, 0.00055
11300, 0.000542
11400, 0.000546
11500, 0.000551
11600, 0.000554
11700, 0.000564
11800, 0.000995
11900, 0.000635
12000, 0.00061
12100, 0.000592
12200, 0.000608
12300, 0.000597
12400, 0.000598
12500, 0.000603
12600, 0.000609
12700, 0.000616
12800, 0.000625
12900, 0.000642
13000, 0.000625
13100, 0.000962
13200, 0.000729
13300, 0.000714
13400, 0.000645
13500, 0.000661
13600, 0.000653
13700, 0.000669
13800, 0.000658
13900, 0.000667
14000, 0.000672
14100, 0.00069
14200, 0.000696
14300, 0.000718
14400, 0.000723
14500, 0.000705
14600, 0.000844
14700, 0.001136
14800, 0.000715
14900, 0.000747
15000, 0.000728
15100, 0.000735
15200, 0.000736
15300, 0.000743
15400, 0.000889
15500, 0.000785
15600, 0.000763
15700, 0.000766
15800, 0.000914
15900, 0.000787
16000, 0.000807
16100, 0.000839
16200, 0.000801
16300, 0.000824
16400, 0.000816
16500, 0.000871
16600, 0.000903
16700, 0.000847
16800, 0.00083
16900, 0.001002
17000, 0.001166
17100, 0.000862
17200, 0.000886
17300, 0.001089
17400, 0.000935
17500, 0.000924
17600, 0.000875
17700, 0.000896
17800, 0.000899
17900, 0.001355
18000, 0.000922
18100, 0.000908
18200, 0.000949
18300, 0.000934
18400, 0.000916
18500, 0.000944
18600, 0.000929
18700, 0.000938
18800, 0.001006
18900, 0.001366
19000, 0.000938
19100, 0.001189
19200, 0.000963
19300, 0.000971
19400, 0.000952
19500, 0.000962
19600, 0.000968
19700, 0.000998
19800, 0.001696
19900, 0.000981
20000, 0.001007
20100, 0.000995
20200, 0.001005
20300, 0.001004
20400, 0.001003
20500, 0.00105
20600, 0.001513
20700, 0.00173
20800, 0.001434
20900, 0.001473
21000, 0.001354
21100, 0.001545
21200, 0.001517
21300, 0.001441
21400, 0.001334
21500, 0.001463
21600, 0.001523
21700, 0.001494
21800, 0.001807
21900, 0.001536
22000, 0.00156
22100, 0.001552
22200, 0.001493
22300, 0.00152
22400, 0.002084
22500, 0.001196
22600, 0.001492
22700, 0.001262
22800, 0.001733
22900, 0.001709
23000, 0.001999
23100, 0.001766
23200, 0.001801
23300, 0.00199
23400, 0.001745
23500, 0.001878
23600, 0.001336
23700, 0.001206
23800, 0.001423
23900, 0.001215
24000, 0.00122
24100, 0.001252
24200, 0.001745
24300, 0.001256
24400, 0.001326
24500, 0.001301
24600, 0.0013
24700, 0.00128
24800, 0.001249
24900, 0.001757
25000, 0.001313
25100, 0.001708
25200, 0.00133
25300, 0.0013
25400, 0.001301
25500, 0.001421
25600, 0.001387
25700, 0.001299
25800, 0.001333
25900, 0.001387
26000, 0.001361
26100, 0.001591
26200, 0.002758
26300, 0.001756
26400, 0.001861
26500, 0.002108
26600, 0.002136
26700, 0.001736
26800, 0.001444
26900, 0.001358
27000, 0.002225
27100, 0.002424
27200, 0.001764
27300, 0.002034
27400, 0.002165
27500, 0.00188
27600, 0.002003
27700, 0.002031
27800, 0.002241
27900, 0.002215
28000, 0.001476
28100, 0.001522
28200, 0.00176
28300, 0.001524
28400, 0.001626
28500, 0.001668
28600, 0.001481
28700, 0.001907
28800, 0.001872
28900, 0.001973
29000, 0.001684
29100, 0.001928
29200, 0.001508
29300, 0.001575
29400, 0.001733
29500, 0.002134
29600, 0.002354
29700, 0.001605
29800, 0.001641
29900, 0.001603
30000, 0.00162
30100, 0.001855
30200, 0.002297
30300, 0.001555
30400, 0.001888
30500, 0.001636
30600, 0.002044
30700, 0.002052
30800, 0.001627
30900, 0.001687
31000, 0.001648
31100, 0.00176
31200, 0.001765
31300, 0.00193
31400, 0.001629
31500, 0.002156
31600, 0.00176
31700, 0.001768
31800, 0.001748
31900, 0.001799
32000, 0.001719
32100, 0.001887
32200, 0.00185
32300, 0.001714
32400, 0.001706
32500, 0.001717
32600, 0.001823
32700, 0.001783
32800, 0.001795
32900, 0.001718
33000, 0.001722
33100, 0.001726
33200, 0.001885
33300, 0.002438
33400, 0.002562
33500, 0.002694
33600, 0.00263
33700, 0.00249
33800, 0.0025
33900, 0.002431
34000, 0.002526
34100, 0.002522
34200, 0.002542
34300, 0.00223
34400, 0.00234
34500, 0.001812
34600, 0.002549
34700, 0.001934
34800, 0.00194
34900, 0.002288
35000, 0.001846
35100, 0.001933
35200, 0.002146
35300, 0.002406
35400, 0.001868
35500, 0.001856
35600, 0.001871
35700, 0.00195
35800, 0.002632
35900, 0.001919
36000, 0.002404
36100, 0.002353
36200, 0.003136
36300, 0.002005
36400, 0.001963
36500, 0.002755
36600, 0.00275
36700, 0.002179
36800, 0.002223
36900, 0.002086
37000, 0.001999
37100, 0.001982
37200, 0.002353
37300, 0.003333
37400, 0.002189
37500, 0.001982
37600, 0.002115
37700, 0.002158
37800, 0.00243
37900, 0.002013
38000, 0.002691
38100, 0.002136
38200, 0.002541
38300, 0.002089
38400, 0.002009
38500, 0.002076
38600, 0.002211
38700, 0.002754
38800, 0.002424
38900, 0.00212
39000, 0.002587
39100, 0.002136
39200, 0.002369
39300, 0.002211
39400, 0.002456
39500, 0.002098
39600, 0.00214
39700, 0.00239
39800, 0.002173
39900, 0.002498
40000, 0.002136
40100, 0.002354
40200, 0.002984
40300, 0.002106
40400, 0.002995
40500, 0.002193
40600, 0.002678
40700, 0.002149
40800, 0.002121
40900, 0.002499
41000, 0.002261
41100, 0.002217
41200, 0.002153
41300, 0.002181
41400, 0.002262
41500, 0.002592
41600, 0.002347
41700, 0.002175
41800, 0.002299
41900, 0.002259
42000, 0.002219
42100, 0.002214
42200, 0.00221
42300, 0.003404
42400, 0.002232
42500, 0.002218
42600, 0.002347
42700, 0.002273
42800, 0.002305
42900, 0.002227
43000, 0.002278
43100, 0.002676
43200, 0.002262
43300, 0.002327
43400, 0.002339
43500, 0.002566
43600, 0.002284
43700, 0.002286
43800, 0.002595
43900, 0.002333
44000, 0.002319
44100, 0.002298
44200, 0.002523
44300, 0.003712
44400, 0.003273
44500, 0.002791
44600, 0.00278
44700, 0.002498
44800, 0.002906
44900, 0.002683
45000, 0.002376
45100, 0.002578
45200, 0.002811
45300, 0.003902
45400, 0.003533
45500, 0.003389
45600, 0.003591
45700, 0.003167
45800, 0.003307
45900, 0.003769
46000, 0.003396
46100, 0.004039
46200, 0.004125
46300, 0.00414
46400, 0.003854
46500, 0.003466
46600, 0.00341
46700, 0.003262
46800, 0.003102
46900, 0.002624
47000, 0.003334
47100, 0.004154
47200, 0.003438
47300, 0.003453
47400, 0.003946
47500, 0.003857
47600, 0.003987
47700, 0.003461
47800, 0.002767
47900, 0.003105
48000, 0.003118
48100, 0.002663
48200, 0.003309
48300, 0.002624
48400, 0.002752
48500, 0.003571
48600, 0.002785
48700, 0.002743
48800, 0.002644
48900, 0.003262
49000, 0.002645
49100, 0.003173
49200, 0.003996
49300, 0.002749
49400, 0.002638
49500, 0.003135
49600, 0.002662
49700, 0.002722
49800, 0.003483
49900, 0.003146
50000, 0.00281
50100, 0.002711
50200, 0.002678
50300, 0.003578
50400, 0.004008
50500, 0.004276
50600, 0.004408
50700, 0.004333
50800, 0.004378
50900, 0.004397
51000, 0.00416
51100, 0.004404
51200, 0.004234
51300, 0.004019
51400, 0.003307
51500, 0.003344
51600, 0.003439
51700, 0.003248
51800, 0.003917
51900, 0.002965
52000, 0.003044
52100, 0.00417
52200, 0.003311
52300, 0.003514
52400, 0.003555
52500, 0.003121
52600, 0.003029
52700, 0.003391
52800, 0.002993
52900, 0.0054
53000, 0.003035
53100, 0.002943
53200, 0.00334
53300, 0.002908
53400, 0.002903
53500, 0.003347
53600, 0.003395
53700, 0.002961
53800, 0.003472
53900, 0.003094
54000, 0.002999
54100, 0.003861
54200, 0.003088
54300, 0.003044
54400, 0.00414
54500, 0.00416
54600, 0.004481
54700, 0.003039
54800, 0.003078
54900, 0.004997
55000, 0.004869
55100, 0.004702
55200, 0.004632
55300, 0.004472
55400, 0.004774
55500, 0.004167
55600, 0.003434
55700, 0.004219
55800, 0.004898
55900, 0.004733
56000, 0.004525
56100, 0.004471
56200, 0.004096
56300, 0.004382
56400, 0.004286
56500, 0.004706
56600, 0.004646
56700, 0.004561
56800, 0.004712
56900, 0.00452
57000, 0.004759
57100, 0.00472
57200, 0.004776
57300, 0.004243
57400, 0.004634
57500, 0.004688
57600, 0.004963
57700, 0.004967
57800, 0.005017
57900, 0.005047
58000, 0.005323
58100, 0.003507
58200, 0.003107
58300, 0.00313
58400, 0.003391
58500, 0.003126
58600, 0.003247
58700, 0.003515
58800, 0.003209
58900, 0.003189
59000, 0.003611
59100, 0.003216
59200, 0.003178
59300, 0.003406
59400, 0.003431
59500, 0.003927
59600, 0.003251
59700, 0.003293
59800, 0.003736
59900, 0.003239
60000, 0.006268
60100, 0.004091
60200, 0.00465
60300, 0.004621
60400, 0.004917
60500, 0.005061
60600, 0.005362
60700, 0.005339
60800, 0.004983
60900, 0.005126
61000, 0.005129
61100, 0.005102
61200, 0.003946
61300, 0.003793
61400, 0.003953
61500, 0.003622
61600, 0.004058
61700, 0.004222
61800, 0.003982
61900, 0.004059
62000, 0.00346
62100, 0.004405
62200, 0.005694
62300, 0.003768
62400, 0.003629
62500, 0.003503
62600, 0.004238
62700, 0.00368
62800, 0.003637
62900, 0.003514
63000, 0.003523
63100, 0.004014
63200, 0.003553
63300, 0.006753
63400, 0.004704
63500, 0.004085
63600, 0.003705
63700, 0.003575
63800, 0.003556
63900, 0.003983
64000, 0.004056
64100, 0.003542
64200, 0.003531
64300, 0.004399
64400, 0.00418
64500, 0.004866
64600, 0.004
64700, 0.00412
64800, 0.00409
64900, 0.004597
65000, 0.003937
65100, 0.003721
65200, 0.004004
65300, 0.003669
65400, 0.004614
65500, 0.004227
65600, 0.004091
65700, 0.004636
65800, 0.004212
65900, 0.004235
66000, 0.004857
66100, 0.004097
66200, 0.004232
66300, 0.004583
66400, 0.0041
66500, 0.005157
66600, 0.003852
66700, 0.004053
66800, 0.003997
66900, 0.003989
67000, 0.004785
67100, 0.004055
67200, 0.004439
67300, 0.00419
67400, 0.004254
67500, 0.003815
67600, 0.004457
67700, 0.003873
67800, 0.003808
67900, 0.003954
68000, 0.004037
68100, 0.004613
68200, 0.003782
68300, 0.003954
68400, 0.003798
68500, 0.00401
68600, 0.004615
68700, 0.003818
68800, 0.004323
68900, 0.00404
69000, 0.003862
69100, 0.004361
69200, 0.003907
69300, 0.004135
69400, 0.003907
69500, 0.004531
69600, 0.00495
69700, 0.005037
69800, 0.003919
69900, 0.003931
70000, 0.004561
70100, 0.005132
70200, 0.006214
70300, 0.005971
70400, 0.005414
70500, 0.006303
70600, 0.005404
70700, 0.005863
70800, 0.005653
70900, 0.004715
71000, 0.00586
71100, 0.005609
71200, 0.005824
71300, 0.006405
71400, 0.005381
71500, 0.005322
71600, 0.005122
71700, 0.005788
71800, 0.006047
71900, 0.005727
72000, 0.005798
72100, 0.00604
72200, 0.006013
72300, 0.004246
72400, 0.004756
72500, 0.006431
72600, 0.00666
72700, 0.005961
72800, 0.005996
72900, 0.005826
73000, 0.005791
73100, 0.005716
73200, 0.005976
73300, 0.006062
73400, 0.006769
73500, 0.004741
73600, 0.006965
73700, 0.006707
73800, 0.005776
73900, 0.007087
74000, 0.006285
74100, 0.005741
74200, 0.006171
74300, 0.005677
74400, 0.004652
74500, 0.005472
74600, 0.004157
74700, 0.004304
74800, 0.004618
74900, 0.00537
75000, 0.004191
75100, 0.004303
75200, 0.004579
75300, 0.004707
75400, 0.004169
75500, 0.004643
75600, 0.004479
75700, 0.004276
75800, 0.004936
75900, 0.004374
76000, 0.005589
76100, 0.006594
76200, 0.004239
76300, 0.004565
76400, 0.004255
76500, 0.004346
76600, 0.006094
76700, 0.006929
76800, 0.005361
76900, 0.005025
77000, 0.004378
77100, 0.004387
77200, 0.004315
77300, 0.005235
77400, 0.004275
77500, 0.004699
77600, 0.005096
77700, 0.004793
77800, 0.00432
77900, 0.005038
78000, 0.004817
78100, 0.004943
78200, 0.004998
78300, 0.004892
78400, 0.005514
78500, 0.004791
78600, 0.006767
78700, 0.004512
78800, 0.004836
78900, 0.004423
79000, 0.004552
79100, 0.005722
79200, 0.005542
79300, 0.005726
79400, 0.004814
79500, 0.005701
79600, 0.005442
79700, 0.005204
79800, 0.00464
79900, 0.004974
80000, 0.006186
80100, 0.004631
80200, 0.004516
80300, 0.005346
80400, 0.007625
80500, 0.007292
80600, 0.006955
80700, 0.004432
80800, 0.004535
80900, 0.005895
81000, 0.006555
81100, 0.006695
81200, 0.006326
81300, 0.006346
81400, 0.006753
81500, 0.006517
81600, 0.004824
81700, 0.005967
81800, 0.006513
81900, 0.00636
82000, 0.006367
82100, 0.006228
82200, 0.006146
82300, 0.007075
82400, 0.006393
82500, 0.006718
82600, 0.006872
82700, 0.007241
82800, 0.007189
82900, 0.006897
83000, 0.006894
83100, 0.007229
83200, 0.007233
83300, 0.007074
83400, 0.006809
83500, 0.007657
83600, 0.007405
83700, 0.007342
83800, 0.007142
83900, 0.007471
84000, 0.007042
84100, 0.007178
84200, 0.006366
84300, 0.007034
84400, 0.006678
84500, 0.006243
84600, 0.007882
84700, 0.007614
84800, 0.007312
84900, 0.007401
85000, 0.006892
85100, 0.007311
85200, 0.006504
85300, 0.007893
85400, 0.007061
85500, 0.00487
85600, 0.006761
85700, 0.0061
85800, 0.0061
85900, 0.006027
86000, 0.005241
86100, 0.005959
86200, 0.007034
86300, 0.006622
86400, 0.00653
86500, 0.005506
86600, 0.005412
86700, 0.005928
86800, 0.00727
86900, 0.007186
87000, 0.008002
87100, 0.008061
87200, 0.007867
87300, 0.007857
87400, 0.006902
87500, 0.00776
87600, 0.007068
87700, 0.007102
87800, 0.007559
87900, 0.006974
88000, 0.007152
88100, 0.006197
88200, 0.005653
88300, 0.007575
88400, 0.008265
88500, 0.008423
88600, 0.006313
88700, 0.007109
88800, 0.007554
88900, 0.007559
89000, 0.007957
89100, 0.007854
89200, 0.007945
89300, 0.007869
89400, 0.006526
89500, 0.005058
89600, 0.00513
89700, 0.00515
89800, 0.005739
89900, 0.006398
90000, 0.008693
90100, 0.00797
90200, 0.006684
90300, 0.007169
90400, 0.00739
90500, 0.005979
90600, 0.006553
90700, 0.006238
90800, 0.005729
90900, 0.006308
91000, 0.007375
91100, 0.005461
91200, 0.005811
91300, 0.00573
91400, 0.005168
91500, 0.005357
91600, 0.005777
91700, 0.005189
91800, 0.005092
91900, 0.005148
92000, 0.005222
92100, 0.00521
92200, 0.005129
92300, 0.005838
92400, 0.005188
92500, 0.005193
92600, 0.005607
92700, 0.00525
92800, 0.005486
92900, 0.005278
93000, 0.005261
93100, 0.005135
93200, 0.005378
93300, 0.005322
93400, 0.006002
93500, 0.006061
93600, 0.005355
93700, 0.005229
93800, 0.005284
93900, 0.006033
94000, 0.00579
94100, 0.005499
94200, 0.005691
94300, 0.007173
94400, 0.008276
94500, 0.008289
94600, 0.008184
94700, 0.008324
94800, 0.008339
94900, 0.008353
95000, 0.008309
95100, 0.008488
95200, 0.008029
95300, 0.007721
95400, 0.009182
95500, 0.008183
95600, 0.007362
95700, 0.005562
95800, 0.005916
95900, 0.005614
96000, 0.006002
96100, 0.007539
96200, 0.005894
