Size of the array, Time taken
100, 4.1e-05
200, 7.9e-05
300, 0.000117
400, 0.000154
500, 0.000192
600, 0.000232
700, 0.000271
800, 0.000314
900, 0.000354
1000, 0.000396
1100, 0.000432
1200, 0.000468
1300, 0.000505
1400, 0.000549
1500, 0.000591
1600, 0.000624
1700, 0.000665
1800, 0.000671
1900, 0.0008
2000, 0.00081
2100, 0.000762
2200, 0.000794
2300, 0.000842
2400, 0.000863
2500, 0.000902
2600, 0.000957
2700, 0.000979
2800, 0.001025
2900, 0.001067
3000, 0.001088
3100, 0.001136
3200, 0.001167
3300, 0.001213
3400, 0.001236
3500, 0.001291
3600, 0.001322
3700, 0.001346
3800, 0.001369
3900, 0.001408
4000, 0.001426
4100, 0.001493
4200, 0.001546
4300, 0.001582
4400, 0.001648
4500, 0.001635
4600, 0.001668
4700, 0.001833
4800, 0.001861
4900, 0.001858
5000, 0.001819
5100, 0.00185
5200, 0.00189
5300, 0.00193
5400, 0.00196
5500, 0.001994
5600, 0.002042
5700, 0.002072
5800, 0.00216
5900, 0.00172
6000, 0.001564
6100, 0.001528
6200, 0.001569
6300, 0.001582
6400, 0.001603
6500, 0.001633
6600, 0.001661
6700, 0.001679
6800, 0.001705
6900, 0.001752
7000, 0.001734
7100, 0.001773
7200, 0.001805
7300, 0.001831
7400, 0.001855
7500, 0.001964
7600, 0.001968
7700, 0.001976
7800, 0.001965
7900, 0.002006
8000, 0.002001
8100, 0.002029
8200, 0.002064
8300, 0.002108
8400, 0.002191
8500, 0.002139
8600, 0.002193
8700, 0.002188
8800, 0.002213
8900, 0.00226
9000, 0.002272
9100, 0.002396
9200, 0.002316
9300, 0.002344
9400, 0.002388
9500, 0.002394
9600, 0.002436
9700, 0.002442
9800, 0.002614
9900, 0.002509
10000, 0.002523
10100, 0.002537
10200, 0.002563
10300, 0.002595
10400, 0.002661
10500, 0.002638
10600, 0.002666
10700, 0.002694
10800, 0.002713
10900, 0.002726
11000, 0.002796
11100, 0.00299
11200, 0.003114
11300, 0.002862
11400, 0.002876
11500, 0.003366
11600, 0.003139
11700, 0.003008
11800, 0.003574
11900, 0.003279
12000, 0.003044
12100, 0.003353
12200, 0.003263
12300, 0.003094
12400, 0.003134
12500, 0.00344
12600, 0.003437
12700, 0.00319
12800, 0.00346
12900, 0.003311
13000, 0.004368
13100, 0.003734
13200, 0.003491
13300, 0.003382
13400, 0.003471
13500, 0.003839
13600, 0.003437
13700, 0.003473
13800, 0.003608
13900, 0.003676
14000, 0.003655
14100, 0.003761
14200, 0.003573
14300, 0.003589
14400, 0.003858
14500, 0.003703
14600, 0.003887
14700, 0.003732
14800, 0.003843
14900, 0.003745
15000, 0.003775
15100, 0.003786
15200, 0.003839
15300, 0.003873
15400, 0.003876
15500, 0.00391
15600, 0.003919
15700, 0.004016
15800, 0.004008
15900, 0.003998
16000, 0.004025
16100, 0.00413
16200, 0.004075
16300, 0.004106
16400, 0.00413
16500, 0.004123
16600, 0.004158
16700, 0.004199
16800, 0.004226
16900, 0.004327
17000, 0.004384
17100, 0.004632
17200, 0.004331
17300, 0.004483
17400, 0.004379
17500, 0.0044
17600, 0.004802
17700, 0.004495
17800, 0.004742
17900, 0.004608
18000, 0.004852
18100, 0.004963
18200, 0.004586
18300, 0.005099
18400, 0.004745
18500, 0.004964
18600, 0.004698
18700, 0.00482
18800, 0.004987
18900, 0.004844
19000, 0.005246
19100, 0.004879
19200, 0.004865
19300, 0.004873
19400, 0.00502
19500, 0.0049
19600, 0.004922
19700, 0.004983
19800, 0.004986
