Size of the array, Time taken
100, 2.2e-05
200, 6.7e-05
300, 0.000133
400, 0.000225
500, 0.000342
600, 0.000485
700, 0.00066
800, 0.000914
900, 0.001078
1000, 0.001449
1100, 0.001598
1200, 0.001911
1300, 0.002227
1400, 0.002666
1500, 0.002933
1600, 0.003593
1700, 0.003819
1800, 0.004326
1900, 0.004959
2000, 0.005303
2100, 0.005762
2200, 0.006582
2300, 0.006894
2400, 0.007635
2500, 0.008188
2600, 0.008878
2700, 0.00988
2800, 0.010419
2900, 0.011183
3000, 0.012119
3100, 0.012796
3200, 0.013694
3300, 0.015237
3400, 0.01493
3500, 0.016475
3600, 0.017553
3700, 0.018916
3800, 0.019444
3900, 0.020298
4000, 0.023221
4100, 0.022282
4200, 0.022941
4300, 0.024023
4400, 0.025274
4500, 0.027144
4600, 0.029787
4700, 0.030009
4800, 0.030889
4900, 0.031616
5000, 0.032719
5100, 0.03368
5200, 0.037193
5300, 0.038231
5400, 0.038984
5500, 0.039098
5600, 0.040316
5700, 0.041965
5800, 0.045276
5900, 0.045307
6000, 0.046547
6100, 0.048146
6200, 0.050361
6300, 0.051723
6400, 0.05265
6500, 0.054322
6600, 0.056491
6700, 0.060012
6800, 0.059328
6900, 0.060978
7000, 0.065591
7100, 0.066025
7200, 0.067098
7300, 0.069114
7400, 0.072671
7500, 0.074001
7600, 0.078791
7700, 0.076343
7800, 0.081004
7900, 0.082635
8000, 0.085591
8100, 0.085742
8200, 0.089318
8300, 0.089228
8400, 0.092839
8500, 0.096206
8600, 0.097656
8700, 0.097621
8800, 0.100414
8900, 0.104183
9000, 0.108071
9100, 0.109139
9200, 0.110293
9300, 0.114807
9400, 0.115799
9500, 0.120728
9600, 0.123608
9700, 0.122441
9800, 0.126026
9900, 0.129245
10000, 0.130151
10100, 0.131715
10200, 0.148681
10300, 0.142045
10400, 0.142465
10500, 0.142558
10600, 0.15447
10700, 0.157288
10800, 0.152971
10900, 0.180237
11000, 0.181263
11100, 0.237645
11200, 0.250886
11300, 0.200488
11400, 0.209261
11500, 0.204348
11600, 0.235129
11700, 0.204202
11800, 0.214121
11900, 0.20171
12000, 0.212771
12100, 0.22497
12200, 0.229654
12300, 0.229254
12400, 0.21709
12500, 0.217075
12600, 0.214475
12700, 0.215712
12800, 0.21396
12900, 0.218044
13000, 0.218303
13100, 0.222491
13200, 0.224608
13300, 0.229847
13400, 0.233358
13500, 0.235565
13600, 0.240848
13700, 0.242556
13800, 0.24551
13900, 0.254072
14000, 0.254295
14100, 0.263561
14200, 0.263366
14300, 0.264595
14400, 0.268776
14500, 0.27229
14600, 0.275011
14700, 0.280208
14800, 0.281587
14900, 0.293529
15000, 0.293232
15100, 0.302163
15200, 0.311721
15300, 0.320568
15400, 0.313024
15500, 0.318076
15600, 0.32108
15700, 0.322072
15800, 0.324355
15900, 0.329723
16000, 0.332007
16100, 0.334675
16200, 0.338489
16300, 0.341784
16400, 0.348216
16500, 0.352328
16600, 0.357135
16700, 0.361184
16800, 0.365933
16900, 0.36761
17000, 0.381836
17100, 0.383132
17200, 0.382188
17300, 0.385175
17400, 0.394568
17500, 0.395846
17600, 0.400047
17700, 0.413255
17800, 0.408896
17900, 0.415711
18000, 0.417963
18100, 0.423645
18200, 0.427598
18300, 0.450157
18400, 0.438335
18500, 0.441502
18600, 0.447386
18700, 0.453835
18800, 0.458753
18900, 0.46907
19000, 0.473487
19100, 0.47739
19200, 0.485228
