Size of the array, Time taken
100, 1.1e-05
200, 2e-05
300, 3.1e-05
400, 4.3e-05
500, 4.8e-05
600, 7.4e-05
700, 9.1e-05
800, 9.1e-05
900, 0.000113
1000, 0.000129
1100, 0.000145
1200, 0.000158
1300, 0.000147
1400, 0.000184
1500, 0.000173
1600, 0.000182
1700, 0.000198
1800, 0.000188
1900, 0.000213
2000, 0.000237
2100, 0.000245
2200, 0.00025
2300, 0.000278
2400, 0.000286
2500, 0.000302
2600, 0.000295
2700, 0.0003
2800, 0.000334
2900, 0.000363
3000, 0.000382
3100, 0.000356
3200, 0.000424
3300, 0.000481
3400, 0.000388
3500, 0.000407
3600, 0.000371
3700, 0.000466
3800, 0.000484
3900, 0.000477
4000, 0.000551
4100, 0.000557
4200, 0.000657
4300, 0.000638
4400, 0.000672
4500, 0.000688
4600, 0.000702
4700, 0.000693
4800, 0.000751
4900, 0.00072
5000, 0.000755
5100, 0.000812
5200, 0.000769
5300, 0.000666
5400, 0.000665
5500, 0.000726
5600, 0.000769
5700, 0.000722
5800, 0.000717
5900, 0.000688
6000, 0.000785
6100, 0.000786
6200, 0.000637
6300, 0.000641
6400, 0.0008
6500, 0.000957
6600, 0.000928
6700, 0.000785
6800, 0.00078
6900, 0.000971
7000, 0.000843
7100, 0.000871
7200, 0.000909
7300, 0.000773
7400, 0.001174
7500, 0.001027
7600, 0.00091
7700, 0.000938
7800, 0.001103
7900, 0.00107
8000, 0.001009
8100, 0.001073
8200, 0.001055
8300, 0.001159
8400, 0.001177
8500, 0.001188
8600, 0.001237
8700, 0.001275
8800, 0.001199
8900, 0.001406
9000, 0.001314
9100, 0.00127
9200, 0.001453
9300, 0.001292
9400, 0.001398
9500, 0.001333
9600, 0.001475
9700, 0.001509
9800, 0.001429
9900, 0.001492
10000, 0.001399
10100, 0.00159
10200, 0.001541
10300, 0.001332
10400, 0.001558
10500, 0.001561
10600, 0.001529
10700, 0.001295
10800, 0.001182
10900, 0.001204
11000, 0.001589
11100, 0.001346
11200, 0.001214
11300, 0.001027
11400, 0.001078
11500, 0.001352
11600, 0.001422
11700, 0.001319
11800, 0.001053
11900, 0.001428
12000, 0.001514
12100, 0.001202
12200, 0.001463
12300, 0.001434
12400, 0.001257
12500, 0.001506
12600, 0.001144
12700, 0.001257
12800, 0.001521
12900, 0.001647
13000, 0.001317
13100, 0.001919
13200, 0.002031
13300, 0.002002
13400, 0.001935
13500, 0.002084
13600, 0.001642
13700, 0.001198
13800, 0.001532
13900, 0.001635
14000, 0.001545
14100, 0.001427
14200, 0.001679
14300, 0.001925
14400, 0.001876
14500, 0.001994
14600, 0.001498
14700, 0.001426
14800, 0.00142
14900, 0.001626
15000, 0.002166
15100, 0.001741
15200, 0.002269
15300, 0.001916
15400, 0.002145
15500, 0.002248
15600, 0.002141
15700, 0.002196
15800, 0.002448
15900, 0.00183
16000, 0.001742
16100, 0.002358
16200, 0.002061
