Size of the array, Time taken
100, 2.7e-05
200, 7.3e-05
300, 0.00011
400, 0.000112
500, 0.000147
600, 0.000167
700, 0.000192
800, 0.000215
900, 0.000247
1000, 0.00025
1100, 0.000286
1200, 0.000332
1300, 0.000413
1400, 0.000413
1500, 0.000412
1600, 0.000581
1700, 0.000771
1800, 0.000759
1900, 0.000809
2000, 0.001017
2100, 0.001175
2200, 0.00147
2300, 0.000854
2400, 0.000895
2500, 0.000933
2600, 0.000921
2700, 0.001072
2800, 0.001009
2900, 0.001035
3000, 0.001137
3100, 0.001212
3200, 0.001157
3300, 0.001187
3400, 0.001213
3500, 0.001256
3600, 0.001278
3700, 0.001916
3800, 0.001379
3900, 0.001503
4000, 0.001438
4100, 0.00156
4200, 0.001554
4300, 0.001616
4400, 0.001592
4500, 0.001691
4600, 0.001298
4700, 0.001296
4800, 0.001633
4900, 0.001813
5000, 0.001778
5100, 0.001889
5200, 0.001977
5300, 0.001986
5400, 0.002043
5500, 0.002044
5600, 0.001996
5700, 0.001455
5800, 0.002723
5900, 0.001931
6000, 0.001628
6100, 0.002449
6200, 0.002262
6300, 0.001933
6400, 0.002477
6500, 0.002896
6600, 0.002458
6700, 0.002352
6800, 0.002531
6900, 0.002484
7000, 0.002496
7100, 0.002516
7200, 0.002614
7300, 0.002601
7400, 0.002676
7500, 0.002769
7600, 0.002709
7700, 0.002837
7800, 0.002773
7900, 0.002779
8000, 0.002676
8100, 0.002437
8200, 0.002877
8300, 0.003022
8400, 0.003002
8500, 0.003059
8600, 0.00396
8700, 0.003074
8800, 0.003566
8900, 0.004031
9000, 0.004438
9100, 0.003104
9200, 0.003884
9300, 0.003218
9400, 0.003982
9500, 0.003358
9600, 0.00251
9700, 0.004946
9800, 0.002932
9900, 0.002576
10000, 0.005201
10100, 0.003906
10200, 0.004091
10300, 0.003736
10400, 0.003919
10500, 0.003354
10600, 0.004142
10700, 0.005073
10800, 0.004354
10900, 0.003899
11000, 0.003774
11100, 0.004537
11200, 0.003835
11300, 0.003778
11400, 0.00371
11500, 0.003133
11600, 0.004459
11700, 0.003566
11800, 0.003219
11900, 0.005121
12000, 0.003221
12100, 0.003469
12200, 0.005645
12300, 0.003169
12400, 0.006064
12500, 0.003301
12600, 0.005412
12700, 0.005191
12800, 0.00553
12900, 0.004
13000, 0.004344
13100, 0.00482
13200, 0.006573
13300, 0.008525
13400, 0.007987
13500, 0.00732
13600, 0.007655
13700, 0.005957
13800, 0.006667
13900, 0.005901
14000, 0.00887
14100, 0.004618
14200, 0.007272
14300, 0.003972
14400, 0.00818
14500, 0.003796
14600, 0.004743
14700, 0.004997
14800, 0.004603
14900, 0.005005
15000, 0.004524
15100, 0.006192
15200, 0.00387
15300, 0.004344
15400, 0.005626
15500, 0.004168
15600, 0.006619
15700, 0.005993
15800, 0.004532
15900, 0.005432
16000, 0.008826
16100, 0.006042
16200, 0.009378
16300, 0.006526
16400, 0.006108
16500, 0.00582
